make: 'bandwidthTest' is up to date.
./bandwidthTest --device=0 --memory=pinned --mode=range --start=1024 --end=67108864 --increment=524288 --htod --csv
[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce RTX 3050 Ti Laptop GPU
 Range Mode

Type,Bandwidth(MB/s),Time(sec),Size(bytes),NumDevs
H2D-Pinned,5967.5,0.01014,63439872,1
H2D-Pinned,5972.3,0.01021,63964160,1
H2D-Pinned,5969.7,0.01030,64488448,1
H2D-Pinned,5977.1,0.01037,65012736,1
H2D-Pinned,5976.4,0.01046,65537024,1
H2D-Pinned,5979.6,0.01054,66061312,1
H2D-Pinned,5979.0,0.01062,66585600,1
Result = PASS
./bandwidthTest --device=0 --memory=pinned --mode=range --start=1024 --end=67108864 --increment=524288 --dtod --csv
[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce RTX 3050 Ti Laptop GPU
 Range Mode

Type,Bandwidth(MB/s),Time(sec),Size(bytes),NumDevs
D2D,574.4,0.00000,1024,1
D2D,85866.4,0.00001,525312,1
D2D,211148.6,0.00000,1049600,1
D2D,128460.1,0.00001,1573888,1
D2D,124368.7,0.00002,2098176,1
D2D,129710.3,0.00002,2622464,1
D2D,132575.8,0.00002,3146752,1
D2D,131515.2,0.00003,3671040,1
D2D,135727.0,0.00003,4195328,1
D2D,135520.6,0.00003,4719616,1
D2D,134734.8,0.00004,5243904,1
D2D,137734.2,0.00004,5768192,1
D2D,135481.3,0.00004,6292480,1
D2D,139319.1,0.00005,6816768,1
D2D,137789.1,0.00005,7341056,1
D2D,139370.7,0.00005,7865344,1
D2D,138011.1,0.00006,8389632,1
D2D,140294.6,0.00006,8913920,1
D2D,137721.8,0.00007,9438208,1
D2D,141085.1,0.00007,9962496,1
D2D,140444.7,0.00007,10486784,1
D2D,142319.8,0.00007,11011072,1
D2D,140967.6,0.00008,11535360,1
D2D,142281.0,0.00008,12059648,1
D2D,141620.1,0.00008,12583936,1
D2D,141973.4,0.00009,13108224,1
D2D,141852.2,0.00009,13632512,1
D2D,142422.4,0.00009,14156800,1
D2D,142394.9,0.00010,14681088,1
D2D,143215.1,0.00010,15205376,1
D2D,140732.4,0.00011,15729664,1
D2D,143421.8,0.00011,16253952,1
D2D,141218.8,0.00011,16778240,1
D2D,143167.8,0.00012,17302528,1
D2D,143124.7,0.00012,17826816,1
D2D,143627.2,0.00012,18351104,1
D2D,143232.6,0.00013,18875392,1
D2D,144389.1,0.00013,19399680,1
D2D,144090.1,0.00013,19923968,1
D2D,144124.7,0.00014,20448256,1
D2D,143331.2,0.00014,20972544,1
D2D,143605.1,0.00014,21496832,1
D2D,143184.9,0.00015,22021120,1
D2D,144167.3,0.00015,22545408,1
D2D,143374.1,0.00015,23069696,1
D2D,144455.5,0.00016,23593984,1
D2D,143822.1,0.00016,24118272,1
D2D,144168.1,0.00016,24642560,1
D2D,144027.0,0.00017,25166848,1
D2D,144140.6,0.00017,25691136,1
D2D,143145.2,0.00017,26215424,1
D2D,144403.5,0.00018,26739712,1
D2D,144100.9,0.00018,27264000,1
D2D,144941.5,0.00018,27788288,1
D2D,144678.0,0.00019,28312576,1
D2D,145183.8,0.00019,28836864,1
D2D,144473.4,0.00019,29361152,1
D2D,144758.8,0.00020,29885440,1
D2D,144529.5,0.00020,30409728,1
D2D,144724.6,0.00020,30934016,1
D2D,144133.7,0.00021,31458304,1
